,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
14751,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,FAM3C,CLEC2D,0.3471707,0.0,0.08560739,0.46618325,0.5859155,0.034054123,0.8012587,0.0,1.0,0.3998190764219686,1.0
14752,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,FAM3C,LIFR,0.24824177,0.0,0.05389048,0.26645783,0.33820724,0.026486212,0.7618359,0.0,1.0,0.7179664020847552,1.0
11124,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,SEMA4D,PLXNB2,0.47618178,0.057,0.20841175,0.020334974,0.043586135,0.02455367,0.86283654,0.0,1.0,1.0,1.0
11123,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,SEMA4D,MET,0.3952675,0.008,0.153266,0.030207083,0.049610138,0.021481661,0.84361583,0.0,1.0,1.0,1.0
11126,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,SORBS1,ITGA1,0.5413342,0.0,0.25520638,0.42435032,0.77865255,0.06267212,0.87438846,0.0,1.0,0.3998190764219686,1.0
11122,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,SEMA4B,DCBLD2,0.47654727,0.0,0.15720835,0.1677409,0.15670335,0.012552078,0.8452838,0.0,1.0,1.0,1.0
11095,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LAMC1,ITGA3_ITGB1,0.27424186,1.0,0.074894264,-0.13826099,-0.27243423,0.0070690596,0.7903991,0.0,1.0,1.0,1.0
14789,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMC2,CD44,0.8018421,0.0,0.3636122,0.46406743,0.7340964,0.062368415,0.892577,0.0,1.0,0.3998190764219686,1.0
11106,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,PAM,DPP4,0.6280522,0.0,0.31131032,0.07444229,0.29961938,0.013177056,0.88490164,0.0,1.0,1.0,1.0
14783,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMB3,ITGA2_ITGB1,0.51644707,0.0,0.24206749,0.19642317,0.30317163,0.03323639,0.8714569,0.0,1.0,1.0,1.0
14520,PDO_SN38_PDO_CAF,Fibroblast_DMSO_CAF,HLA-A,APLP2,0.48185632,0.0,0.21605167,0.062901266,-0.056454778,0.01476209,0.86495304,0.0,1.0,1.0,1.0
14784,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMB3,ITGA3_ITGB1,0.46498144,0.0,0.1727484,0.1646926,0.25128073,0.036866706,0.8513479,0.0,1.0,1.0,1.0
14515,PDO_SN38_PDO_CAF,Fibroblast_DMSO_CAF,HBEGF,CD44,0.9117371,0.0,0.2961274,0.58268046,0.7516645,0.060539518,0.8823308,0.0,1.0,0.19148281026243746,1.0
11325,PDO_DMSO_PDO,Fibroblast_SN38_PDO_CAF,CALR,ITGA3,0.22467452,1.0,0.050062943,-0.07088606,-0.07717374,0.009727089,0.7550879,0.0,1.0,1.0,1.0
11105,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,OLFM2,ROBO2,0.23291793,0.0,0.05423907,0.21996918,0.37405673,0.03202229,0.76242036,0.0,1.0,1.0,1.0
14790,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMC2,ITGA2_ITGB1,0.31638044,0.0,0.09824214,0.13622369,0.19347206,0.03577135,0.8119929,0.0,1.0,1.0,1.0
14786,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMC1,ITGA1,0.43878248,0.0,0.18407269,0.19196863,0.2398125,0.01878906,0.85532105,0.0,1.0,1.0,1.0
11103,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,NRXN1,NLGN1,0.26832137,0.0,0.07197769,0.12640567,0.18987155,0.010743343,0.7870898,0.0,1.0,1.0,1.0
11102,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,NECTIN3,PVR,0.62623537,0.0,0.18612623,0.15400997,0.3285835,0.022978866,0.8560061,0.0,1.0,1.0,1.0
11101,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,NECTIN3,NECTIN2,0.67796385,0.011,0.2978759,0.00074732304,0.002211988,0.015968887,0.882636,0.0,1.0,1.0,1.0
14787,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMC1,ITGA2_ITGB1,0.44509506,0.004,0.19077346,0.03210058,-0.011660397,0.011584789,0.8575193,0.0,1.0,1.0,1.0
11099,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LTBP1,ITGB5,0.515537,0.0,0.21948645,0.23010534,0.2152285,0.010591395,0.86587167,0.0,1.0,1.0,1.0
11098,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LRIG2,EGFR,0.73438627,0.0,0.27647892,0.36699003,0.67789173,0.023937438,0.87871975,0.0,1.0,1.0,1.0
14788,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMC1,ITGA3_ITGB1,0.39362943,0.45,0.13614306,0.00036999863,-0.06355131,0.012850162,0.83564115,0.0,1.0,1.0,1.0
11104,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,NRXN3,NLGN1,0.54190606,0.0,0.22115865,0.43293944,0.8346355,0.041454017,0.8663118,0.0,1.0,0.3998190764219686,1.0
11236,PDO_DMSO_PDO,Fibroblast_SN38_CAF,LAMC1,ITGA2_ITGB1,0.6352938,0.0,0.28572786,0.31915754,0.49033064,0.017350929,0.8804622,0.0,1.0,1.0,1.0
14756,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,GNAS,ADCY9,0.33059004,0.0,0.10083018,0.1068079,0.13502863,0.023891576,0.8139696,0.0,1.0,1.0,1.0
11120,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,SEMA3C,NRP1_PLXNA3,0.46252245,0.0,0.15843473,0.3260248,0.49954748,0.020295113,0.8457913,0.0,1.0,1.0,1.0
11060,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,CDH1,ITGA2_ITGB1,0.60067177,0.0,0.30261558,0.06572877,0.11869818,0.022767425,0.8834512,0.0,1.0,1.0,1.0
11330,PDO_DMSO_PDO,Fibroblast_SN38_PDO_CAF,CDH1,ITGA2_ITGB1,0.63648975,0.0,0.3629258,0.11497891,0.22873324,0.02730489,0.8924864,0.0,1.0,1.0,1.0
14811,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,PCSK9,APLP2,0.41695762,0.0,0.16236871,0.07290952,0.09483862,0.031127788,0.847384,0.0,1.0,1.0,1.0
14812,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,PCSK9,CD81,0.24888262,0.0,0.05823288,0.25733778,0.2856392,0.062578514,0.76879495,0.0,1.0,0.8139178503082906,1.0
14813,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,PCSK9,LDLR,0.4398371,1.0,0.17654437,-0.090906575,-0.25944674,0.024210766,0.85271806,0.0,1.0,1.0,1.0
14816,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,PDGFC,PDGFRB,0.27273715,0.0,0.07355178,0.29620993,0.01805672,0.012868718,0.78889686,0.0,1.0,1.0,1.0
14818,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,PSAP,AR,0.38253576,0.0,0.11032546,0.13307016,0.07844181,0.013593336,0.82068735,0.0,1.0,1.0,1.0
14809,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,PAM,DPP4,0.5554267,0.999,0.26196662,0.008597985,-0.12698394,0.01108845,0.87581724,0.0,1.0,1.0,1.0
14824,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,SEMA3A,NRP1_PLXNA3,0.4795903,0.0,0.18226452,0.26314968,0.20736662,0.012758054,0.85470915,0.0,1.0,1.0,1.0
14827,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,SEMA3B,NRP2_PLXNA3,0.630991,0.0,0.324926,0.47418633,0.7824191,0.063487865,0.88706374,0.0,1.0,0.3998190764219686,1.0
11056,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,CALR,ITGAV,0.25661623,0.002,0.06571841,0.04062505,0.08807534,0.01265157,0.7793674,0.0,1.0,1.0,1.0
11055,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,CALR,ITGA3,0.2507878,0.987,0.06286175,-0.029947104,-0.012994081,0.012213862,0.77552277,0.0,1.0,1.0,1.0
11054,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,CALM1,RYR2,0.3147988,0.0,0.09061794,0.14214535,0.2637632,0.021467589,0.8057488,0.0,1.0,1.0,1.0
