,names,scores,logfoldchanges,pvals,pvals_adj
31224,ARSJ,-2.7661314,-0.515867,0.005672567038869197,0.06060557691306102
31225,PTBP1,-2.7663662,-0.2834083,0.005668484011741408,0.0605811373316931
31226,ABHD12B,-2.7684548,-1.28793,0.00563228056797513,0.060213290989696105
31227,ZNF488,-2.770213,-1.3512149,0.005601965279165903,0.05992717454630867
31228,TRMT2B,-2.770912,-0.5381776,0.005589955429491257,0.05981766450714717
31229,CAMSAP2,-2.7712886,-0.28270715,0.005583491011314517,0.05977546418377358
31230,PTCD3,-2.7728229,-0.20883998,0.0055572345153147434,0.05952415636403792
31231,SNX3,-2.7738304,-0.946743,0.00554005557725332,0.05935899497508003
31232,MAPKAPK2,-2.7740107,-0.20656577,0.005536987978961808,0.05934497281136321
31233,DVL3,-2.776293,-0.4356071,0.005498264194269952,0.05896739793854678
31234,TGFB1,-2.7775323,-0.5037282,0.005477337341515723,0.05881774726376209
31235,TBC1D14,-2.778032,-0.17862152,0.00546892241817032,0.05874608162657325
31236,PRSS8,-2.780298,-1.1886892,0.005430902676875011,0.05835625997380983
31237,CCDC120,-2.7805765,-1.0387967,0.005426246872688049,0.05832480709923375
31238,LINC00649,-2.7822664,-1.2685149,0.005398069736663057,0.05805893302996861
31239,SSH2,-2.7828863,-0.1233838,0.005387769754697132,0.05796662995008967
31240,PCDH11X,-2.7834678,-0.46574873,0.005378121154911335,0.05788127839448435
31241,MKRN1,-2.7845025,-0.45388502,0.005360991561308589,0.057715333528574275
31242,PLD5P1,-2.7858512,-1.1631551,0.005338738296699688,0.05749410473368895
31243,NALF1,-2.7859905,-0.26550198,0.005336445652111455,0.05748776382574728
31244,RGS22,-2.7869022,-1.1918756,0.005321453043745836,0.05734456266240323
31245,TAB2,-2.7869241,-0.18173058,0.005321094406317135,0.05734456266240323
31246,PHLDA1,-2.7879233,-0.23925413,0.005304710069935114,0.05720067681674999
31247,TNXB,-2.788797,-1.2268612,0.005290422317483946,0.057064849421965574
31248,ENSG00000265994,-2.788988,-0.94140685,0.005287301508855644,0.057049425298621496
31249,MAGT1,-2.7890427,-0.5016815,0.005286410154721212,0.057049425298621496
31250,PAAF1,-2.789777,-0.45598572,0.005274434624378759,0.056947015752492586
31251,PPP1R13B,-2.7898781,-0.1598285,0.005272789350993029,0.056947015752492586
31252,EHBP1L1,-2.7903094,-0.8531174,0.005265768804384163,0.056889862138943856
31253,POLR1HASP,-2.791833,-0.36047432,0.00524104224026995,0.05664086008542861
31254,NHERF1,-2.7919502,-0.55908495,0.005239141148200237,0.05663845637304581
31255,SBNO1,-2.7925072,-0.19317283,0.005230130499605802,0.056575397471094475
31256,FZR1,-2.796141,-0.6591294,0.005171683311538886,0.05599890723084788
31257,PLEKHG3,-2.797446,-0.47170624,0.0051508377328452004,0.05579109634227835
31258,DUSP6,-2.7980165,-0.93639517,0.005141747125416825,0.05571993505073628
31259,PSMD13,-2.7987757,-1.2097311,0.005129677783058666,0.055615465424292854
31260,NTMT1,-2.7990131,-1.038521,0.005125905950459047,0.05559243547685253
31261,C9orf85,-2.7993598,-0.26994863,0.005120404442089527,0.05555062568363364
31262,ZNF675,-2.8001542,-0.43741566,0.005107818741951558,0.055449744000465116
31263,ITGB5,-2.8004627,-0.5366238,0.005102939052994924,0.0554146004660601
31264,SLC1A5,-2.8017297,-0.9234769,0.005082946243333069,0.05523304549116191
31265,TOM1L1,-2.8026605,-0.3554841,0.005068298420053526,0.05509162006849419
31266,ENSG00000276850,-2.8028543,-1.5236433,0.005065253383898477,0.0550762646383289
31267,RN7SKP255,-2.8055682,-1.2419736,0.005022796183822176,0.054667465561987164
31268,DNAJB14,-2.8069932,-0.32186666,0.005000628842680328,0.05444376158503848
31269,POLR3D,-2.8081698,-1.1861433,0.004982392638692222,0.0542802478622782
31270,ADAM32,-2.8082573,-0.757383,0.004981041075821472,0.0542802478622782
31271,KITLG,-2.8083556,-0.44741142,0.0049795209638978715,0.0542802478622782
31272,ATP5F1B,-2.8102913,-0.57278425,0.0049496685668988065,0.05397602373857975
31273,ITPKC,-2.812093,-1.4431462,0.004922024874767282,0.05369192346416039
31274,CTNNBL1,-2.8127894,-0.19645973,0.004911381810578374,0.053593150804952895
31275,ACOX3,-2.8143647,-0.57592607,0.004887376072276197,0.05334845314739531
31276,TAGLN2,-2.816909,-0.67396057,0.0048488248872241065,0.052944774011307885
31277,CASP10,-2.817185,-1.355009,0.004844663696193725,0.052916462644731724
31278,DNAJC17,-2.8172011,-0.53001237,0.0048444165984271965,0.052916462644731724
31279,STX16-NPEPL1,-2.8196366,-0.7441233,0.004807808004161404,0.05254792421781852
31280,MELTF,-2.8204827,-0.57536083,0.004795144022732316,0.0524604926481804
31281,NUP58,-2.8220582,-0.28787777,0.004771653030431739,0.0522204259639205
31282,ARRB2,-2.8223011,-1.0681272,0.004768038922275781,0.05219780442491398
31283,NUP85,-2.8237672,-0.5065645,0.00474628497017104,0.05197651895279808
31284,PRKCH,-2.8239992,-0.33852902,0.004742849854202745,0.05195576431194826
31285,PCMTD2,-2.8240347,-0.44703507,0.004742324681969104,0.05195576431194826
31286,PAK1,-2.8248675,-0.12360468,0.004730018427322596,0.05188258183935773
31287,COL6A3,-2.8253753,-0.2921342,0.004722527825774253,0.051817264663942535
31288,MED4,-2.826085,-0.20038755,0.004712075087661633,0.0517193927969107
31289,B9D1,-2.8277586,-0.48475596,0.0046875135968555,0.0514833036321304
31290,PITPNM1,-2.8292985,-1.523834,0.00466501786173967,0.05128631562564238
31291,OTUD5,-2.831002,-0.5248915,0.0046402428963469335,0.051030572139095676
31292,TOLLIP,-2.8316,-0.91007835,0.004631576120511207,0.050951867722871906
31293,STRN,-2.8331206,-0.12007123,0.004609599235983153,0.050743190284525806
31294,CDC42EP4,-2.834917,-0.60617757,0.004583759016789042,0.05050817414319474
31295,RUNDC1,-2.8351245,-0.8009986,0.004580782899375759,0.05049187031196933
31296,ITSN1,-2.8374398,-0.629068,0.004547694201746083,0.050143530185265635
31297,FAM120B,-2.837568,-0.15217791,0.004545866624400272,0.05013976459864831
31298,PPP1R12C,-2.8388128,-0.7527829,0.004528169744455202,0.049960904897945885
31299,EPHX1,-2.839075,-0.6371138,0.00452445204745183,0.04993621592444381
31300,SNX6,-2.8428946,-0.19817074,0.0044705872188634905,0.049357857579991546
31301,PSPH,-2.8441422,-0.96066666,0.004453117949563174,0.04919718389595989
31302,ZBTB8OS,-2.8447974,-0.42591926,0.0044439685104451275,0.04911218393135231
31303,GMEB2,-2.8465283,-0.6204679,0.0044198806254698506,0.04886198306138688
31304,AMBRA1,-2.8479671,-0.15443133,0.004399948173396964,0.04865757173727092
31305,TNIK,-2.8480763,-0.14207402,0.004398438605556245,0.04865682575457958
31306,ISG20,-2.8494933,-1.4358386,0.004378894477263057,0.048456510220680725
31307,ZNF106,-2.850375,-0.34680232,0.004366770950024267,0.04833820598878568
31308,FUBP1,-2.8511121,-0.17063966,0.0043566600886537415,0.04824211072897185
31309,ILDR2,-2.8512268,-2.4155219,0.004355089196814941,0.04824054809603943
31310,GSS,-2.851912,-0.5790963,0.0043457119470328995,0.04815248640160592
31311,RHOT1,-2.8532443,-0.26290098,0.004327532853042137,0.04796680632774038
31312,CXADR,-2.8540552,-0.15995033,0.004316502715256187,0.04786027000090166
31313,UQCRH,-2.8565998,-0.7355653,0.00428205492468726,0.04749392937506514
31314,KIAA0319,-2.8577845,-0.82315594,0.004266099018344324,0.04733251590889099
31315,PRPF4B,-2.8629446,-0.16212532,0.004197240429196281,0.04659917475520978
31316,CNOT4,-2.8637009,-0.13856772,0.004187233608137968,0.04650337785996545
31317,GNB1L,-2.864801,-1.2024105,0.00417271359489864,0.046357377903154466
31318,CDK10,-2.8659995,-0.584499,0.004156948504064813,0.04619744483766364
31319,ZBED5,-2.8673673,-0.6346574,0.004139022950263674,0.04602855449634027
31320,KCNK1,-2.8682246,-0.24057497,0.004127823956391665,0.04594944912195802
31321,BRD1,-2.871348,-0.39948353,0.004087254714322677,0.04551286272648419
31322,LRRC75A,-2.8719459,-1.1409749,0.004079529792417531,0.04545479726481987
31323,UBXN4,-2.8734636,-0.21218303,0.004059977152344563,0.045253924387216905
31324,CDK12,-2.8739169,-0.15425654,0.0040541560047530605,0.04520397343039268
